name,whiteSpaceArea,graphicSpread,graphicDistance,graphicSize,graphicSizeVar,graphicSizeMin,groupSizeVar,groupDistanceMin,graphicXSymmetry,graphicXAsymmetry,graphicYSymmetry,graphicYAsymmetry,textXsymmetry,textXAsymmetry,textYsymmetry,textYAsymmetry
1922_2,0.5878219070013925,1.0010621587148436,27.267313780507546,0.026429002531638764,0.6473453919159122,0.7354888654681656,0.008809667510546255,1124.070200770351,-0.6186759973758802,-1.2622153167071826,-0.5936083953994253,-1.2525907879505438,0.0,-1.0,0.0,-1.0
1778_1,0.5836106919768996,1.001062158187935,19.24321584325003,0.028437903587332128,0.6254168278329427,0.5577179922739406,0.009479301195777376,702.4787971070685,-0.6293650163411504,-1.2663122566446408,-0.5305923052575942,-1.228256368592288,0.0,-1.0,0.0,-1.0
787_2,0.370782278979794,1.0010621586710986,8.991892445277733,0.022714676275411818,0.499852974532023,0.41132741280950436,0.007571558758470606,520.9420072879101,0.0,-1.0,-0.69028874080939,-1.2896117061297026,0.0,-1.0,-0.1396109352924752,-1.0663697108994483
166_2,0.7208720012696637,1.0010621406788018,5.298671244473579,0.05413762430248378,0.776633209433469,0.16924934815424722,0.018045874767494596,247.84065500718262,-0.8029546719066489,-1.3327099576554744,-0.8029546719066489,-1.3327099576554744,-0.28019126207480527,-1.1276479627503815,-0.1396109352924752,-1.0663697108994483
493_2,0.10969794762801059,1.0010621587744102,-0.049455193372931916,0.017265701263044674,0.39084862496682304,0.15220255249073691,0.005755233754348225,142.0815758389613,0.0,-1.0,-0.7290981356494967,-1.3044367407783952,0.0,-1.0,0.0,-1.0
728_2,0.6028304680459088,1.001062138836919,16.658190854012418,0.030721821159807344,0.5890287181102408,0.4596711307001186,0.010240607053269115,305.98632742266653,-0.5966774018402282,-1.2537705043620175,-0.7010896872220816,-1.2937375034092806,-0.5566883959209529,-1.2383620992472275,0.0,-1.0
2272_1,0.5843525041918356,1.0010621384390983,15.88096017679409,0.036928072168365016,0.7285501685959989,0.33763514424918667,0.012309357389455005,293.6462461245187,-0.7259910967326387,-1.3032496344326423,-0.49600427257170254,-1.2147857865430012,-0.8090838792838303,-1.3350637809763655,0.0,-1.0
98_2,0.6313751176095758,1.0010621375998907,24.0,0.028684579285878645,0.6138622837691523,0.6027995059695348,0.009561526428626215,397.2415016910418,-0.7048950043005033,-1.29519100871316,-0.5114858113916578,-1.2208269073171032,-0.8630446917974318,-1.3558657517183628,-0.42776724161514956,-1.1878895039372768
2124_2,0.5259747508650713,1.0010621583703407,-0.09757608082518217,0.025782625871340514,0.6394345020883774,0.5143928167702411,0.00859420862378017,728.9004158443395,-0.6901404895765677,-1.2895550728218947,-0.377106925303646,-1.1675761442826766,0.0,-1.0,0.0,-1.0
1384_2,0.7081428722853491,1.0010621535080986,24.54044485542797,0.03194517171251637,0.6330349369921969,0.6022227492647756,0.010648390570838788,647.6262243997023,-0.8446345518036941,-1.348750745849126,-0.6096839485553451,-1.258765737132809,-0.9708469381665754,-1.398055764132517,0.0,-1.0
2294_1,0.5766401067900639,1.001062158487235,0.2366638979416685,0.06899388343655882,0.7987000180877565,0.06930634301913544,0.022997961145519608,287.55812524012396,-0.5603032576132934,-1.2397585401717979,-0.6875018250158023,-1.2885470561906156,0.0,-1.0,0.0,-1.0
1977_1,0.6193712693810843,1.001062130364888,13.4612273575956,0.050659504354773364,0.7165126215757481,0.18356606888885255,0.01688650145159112,200.11138719268888,-0.7233881000951392,-1.3022551713258317,-0.7780724385834359,-1.3231686817978836,-0.8541622553569453,-1.3524303614801265,0.0,-1.0
